Index,System Time,Channel,Direction,Frame ID,Data
1,22:14:06.064,ch1,R,0x00c6,x| 80 23 80 0A 80 08 B0 9A
2,22:14:06.064,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
3,22:14:06.064,ch1,R,0x029a,x| 00 00 00 00 00 00 0C F3
4,22:14:06.064,ch1,R,0x02b7,x| 00 E0 FF FE 01
5,22:14:06.064,ch1,R,0x05d7,x| 00 00 12 7F 09 F0 C0
6,22:14:06.066,ch1,R,0x0350,x| C7 4E 82 BE 14 98 94 85
7,22:14:06.066,ch1,R,0x055d,x| 01 1D F0 00 91 C0 00 00
8,22:14:06.070,ch1,R,0x0186,x| 17 A4 31 93 1C 00 21
9,22:14:06.070,ch1,R,0x0189,x| 31 C3 1C 3F 30 D2 00 00
10,22:14:06.071,ch1,R,0x018a,x| 31 C8 00 06 AA 04 4F B0
11,22:14:06.071,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
12,22:14:06.071,ch1,R,0x017a,x| 31 C5 51 AA 00 00 32 00
13,22:14:06.071,ch1,R,0x017c,x| 17 A4 50 08 4E 06 00 00
14,22:14:06.072,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
15,22:14:06.072,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
16,22:14:06.073,ch1,R,0x0392,x| 00 46 00 00 00
17,22:14:06.073,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
18,22:14:06.074,ch1,R,0x0090,x| 00 00 00 00
19,22:14:06.074,ch1,R,0x00c6,x| 80 23 80 00 80 08 B2 A2
20,22:14:06.074,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
21,22:14:06.074,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
22,22:14:06.074,ch1,R,0x0352,x| 5C 00 00 00
23,22:14:06.079,ch1,R,0x01bd,x| 0D 18 0D F0 00 00 01 6B
24,22:14:06.080,ch1,R,0x0211,x| 4E 12 0A 64 F1 28 00 E4
25,22:14:06.080,ch1,R,0x0186,x| 17 A4 31 93 1C 00 21
26,22:14:06.080,ch1,R,0x0189,x| 31 C3 1C 3F 30 D2 00 00
27,22:14:06.081,ch1,R,0x018a,x| 31 C8 00 06 AA 04 16 C0
28,22:14:06.081,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
29,22:14:06.081,ch1,R,0x017a,x| 31 C5 51 AA 00 00 32 00
30,22:14:06.081,ch1,R,0x017c,x| 17 A4 50 08 4E 06 00 00
31,22:14:06.082,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
32,22:14:06.082,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
33,22:14:06.082,ch1,R,0x0214,x| 04 00
34,22:14:06.082,ch1,R,0x0217,x| 0B 00 00 00 00 00 00
35,22:14:06.083,ch1,R,0x02c6,x| FF FF FF FF FF F0
36,22:14:06.083,ch1,R,0x0511,x| 00 03 51 8D 12 B6 0C
37,22:14:06.083,ch1,R,0x0596,x| 85 3E 85 4E 1A 00 00 00
38,22:14:06.083,ch1,R,0x05da,x| 85 5F 40 00 D5 38 C0 00
39,22:14:06.083,ch1,R,0x0090,x| 00 00 00 00
40,22:14:06.084,ch1,R,0x00c6,x| 80 23 80 00 80 08 B4 A0
41,22:14:06.084,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
42,22:14:06.084,ch1,R,0x029a,x| 00 00 00 00 00 00 0D F2
43,22:14:06.084,ch1,R,0x02b7,x| 00 E0 FF FE 01
44,22:14:06.085,ch1,R,0x0648,x| FF FF F0 64 C8 64 FA 1E
45,22:14:06.085,ch1,R,0x0593,x| 0F FF 00 00
46,22:14:06.085,ch1,R,0x065c,x| 9C 62 00
47,22:14:06.085,ch1,R,0x0666,x| 34 00 00 00
48,22:14:06.085,ch1,R,0x066a,x| 20 FE 00 3E 3E C0 1F 02
49,22:14:06.086,ch1,R,0x05de,x| 06 00 00 80 00 00 00 42
50,22:14:06.089,ch1,R,0x068b,x| 22 0D 81
51,22:14:06.090,ch1,R,0x0186,x| 17 A4 31 93 1C 00 21
52,22:14:06.090,ch1,R,0x0189,x| 31 C3 1C 3F 30 D2 00 00
53,22:14:06.091,ch1,R,0x018a,x| 31 C8 00 06 AA 04 DB D0
54,22:14:06.091,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
55,22:14:06.091,ch1,R,0x017a,x| 31 C5 51 AA 00 00 32 00
56,22:14:06.091,ch1,R,0x017c,x| 17 A4 50 08 4E 06 00 00
57,22:14:06.092,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
58,22:14:06.092,ch1,R,0x01a0,x| F0
59,22:14:06.092,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
60,22:14:06.092,ch1,R,0x0563,x| 3D D0
61,22:14:06.092,ch1,R,0x062c,x| 00
62,22:14:06.093,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
63,22:14:06.094,ch1,R,0x0090,x| 00 00 00 00
64,22:14:06.094,ch1,R,0x00c6,x| 80 23 7F F6 80 08 B6 A9
65,22:14:06.094,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
66,22:14:06.094,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
67,22:14:06.095,ch1,R,0x0354,x| 00 00 00 00 00 00 00 00
68,22:14:06.095,ch1,R,0x0673,x| 00 00 50 51 50 50 00
69,22:14:06.099,ch1,R,0x01bd,x| 0D 18 0D F0 00 00 01 6B
70,22:14:06.099,ch1,R,0x0356,x| 67 FF 00 FF 00 00
71,22:14:06.100,ch1,R,0x0211,x| 4E 12 0A 64 F1 28 00 E4
72,22:14:06.100,ch1,R,0x0214,x| 04 00
73,22:14:06.100,ch1,R,0x0575,x| 40 14
74,22:14:06.101,ch1,R,0x0186,x| 17 AE 31 93 1C 00 21
75,22:14:06.101,ch1,R,0x0189,x| 31 C3 1C 3F 30 D2 00 00
76,22:14:06.101,ch1,R,0x018a,x| 31 C8 00 06 AA 04 91 E0
77,22:14:06.101,ch1,R,0x017a,x| 31 C5 51 AA 00 00 32 00
78,22:14:06.102,ch1,R,0x017c,x| 17 A4 50 08 4E 06 00 00
79,22:14:06.102,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
80,22:14:06.102,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
81,22:14:06.102,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
82,22:14:06.103,ch1,R,0x0217,x| 0B 00 00 00 00 00 00
83,22:14:06.103,ch1,R,0x02c6,x| FF FF FF FF FF F0
84,22:14:06.103,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
85,22:14:06.103,ch1,R,0x0090,x| 00 00 00 00
86,22:14:06.104,ch1,R,0x00c6,x| 80 23 80 00 80 08 B8 9C
87,22:14:06.104,ch1,R,0x029a,x| 00 00 00 00 00 00 0E F1
88,22:14:06.104,ch1,R,0x02b7,x| 00 E0 FF FE 01
89,22:14:06.105,ch1,R,0x0657,x| 00 00
