			0	1	2	3	4	5	6	7
			1	2	3	4	5	6	7	8
										
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	657		0	0						
can0	68B		F2	0C	E4					
can0	186		18	3E	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	3C	40
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	62C		0							
can0	1A0		F0							
can0	563		11	D0						
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AC	BE
can0	1BD		0C	F0	0D	9C	0	0	1	6B
can0	29A		0	0	0	0	0	0	3	FC
can0	2B7		0	E0	FF	FE	1			
can0	356		67	FF	0	FF	0	0		
can0	4AC		80							
can0	45C		0	0	0	0				
can0	5DF		0	A4						
can0	186		18	3E	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	F1	50
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	3F7		8	10	4					
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	34	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	AE	B2
can0	211		4E	0F	9	5B	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	653		0	41	58	0				
can0	186		18	3E	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A4	4	BE	60
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	38	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
